time;model_id;model_name;port_name;data
0;204;971774;;2498856, 0, 0, 0, 0.00
0;205;969897;;2493857, 0, 0, 0, 0.00
0;206;970660;;2495870, 0, 0, 0, 0.00
0;207;970659;;2495869, 0, 0, 0, 0.00
0;208;970658;;2495868, 0, 0, 0, 0.00
0;209;977481;;2513887, 0, 0, 0, 0.00
0;210;970656;;2495866, 0, 0, 0, 0.00
0;211;971037;;2496871, 0, 0, 0, 0.00
0;212;972527;;2500856, 0, 0, 0, 0.00
0;213;970652;;2495862, 0, 0, 0, 0.00
0;214;970650;;2495860, 0, 0, 0, 0.00
0;215;975571;;2508875, 0, 0, 0, 0.00
0;216;970648;;2495858, 0, 0, 0, 0.00
0;217;971788;;2498870, 0, 0, 0, 0.00
0;218;973293;;2502868, 0, 0, 0, 0.00
0;219;974064;;2504883, 0, 0, 0, 0.00
0;220;974046;;2504865, 0, 0, 0, 0.00
0;221;971043;;2496877, 0, 0, 0, 0.00
0;222;974061;;2504880, 0, 0, 0, 0.00
0;223;975957;;2509882, 0, 0, 0, 0.00
0;224;974435;;2505876, 0, 0, 0, 0.00
0;225;979770;;2519888, 0, 0, 0, 0.00
0;226;973678;;2503875, 0, 0, 0, 0.00
0;227;970291;;2494876, 0, 0, 0, 0.00
0;228;971416;;2497874, 0, 0, 0, 0.00
0;229;970284;;2494869, 0, 0, 0, 0.00
0;230;970283;;2494868, 0, 0, 0, 0.00
0;231;970278;;2494863, 0, 0, 0, 0.00
0;232;970275;;2494860, 0, 0, 0, 0.00
0;233;977096;;2512882, 0, 0, 0, 0.00
0;234;971785;;2498867, 0, 0, 0, 0.00
0;235;975197;;2507880, 0, 0, 0, 0.00
0;236;968779;;2490862, 0, 0, 0, 0.00
0;237;970274;;2494859, 0, 0, 0, 0.00
0;238;968787;;2490870, 0, 0, 0, 0.00
0;239;971019;;2496853, 0, 0, 0, 0.00
0;240;972919;;2501871, 0, 0, 0, 0.00
0;241;977856;;2514881, 0, 0, 0, 0.00
0;242;970273;;2494858, 0, 0, 0, 0.00
0;243;970270;;2494855, 0, 0, 0, 0.00
